"Parameter" "col_2" "col_3" "col_4" "col_5" "col_6" "col_7" "col_8" "col_9" "col_10" "col_11" "col_12" "col_13" "col_14" "col_15" "col_16" "col_17" "col_18" "col_19"
"1" 2019-06-30 3654 294 789 41 153 516 32 134 206 391 133 130 66 902 1651 53 28 9173
"2" 2019-07-31 3706 320 806 43 169 526 35 125 213 411 144 132 67 911 1636 50 24 9318
"3" 2019-08-31 3749 344 821 43 179 508 35 130 221 405 144 138 63 916 1620 51 23 9390
"4" 2019-09-30 3698 352 840 44 197 529 37 136 214 413 143 148 65 913 1636 52 18 9435
"5" 2019-10-31 3621 335 844 42 198 506 38 133 227 399 142 143 63 872 1605 55 26 9249
"6" 2019-11-30 3653 340 845 45 168 504 33 119 220 398 132 147 58 880 1582 53 26 9203
"7" 2019-12-31 3891 381 927 47 190 530 30 122 220 425 136 154 66 933 1659 54 27 9792
"8" 2020-01-31 3984 381 954 42 198 537 30 120 228 393 132 150 66 942 1674 57 30 9915
"9" 2020-02-28 3900 396 942 36 144 498 30 114 225 372 114 147 69 906 1665 54 30 9639
"10" 2020-03-31 4434 420 1020 45 153 525 36 123 240 417 123 168 75 1014 1758 60 27 10650
"11" 2020-04-30 7239 624 1494 54 261 678 60 183 360 633 174 222 117 1347 2229 75 45 15795
"12" 2020-05-31 7689 621 1593 54 264 696 66 189 378 657 183 234 126 1380 2286 75 45 16536
"13" 2020-06-30 7602 621 1590 42 255 687 66 180 360 645 180 219 120 1380 2262 72 48 16329
"14" 2020-07-31 7539 648 1578 45 270 687 69 177 348 648 192 201 123 1380 2238 72 45 16260
"15" 2020-08-31 8019 651 1635 42 276 672 60 177 333 645 186 210 114 1422 2262 75 51 16827
"16" 2020-09-30 8607 687 1743 45 294 699 63 189 339 678 189 210 120 1458 2322 75 54 17781
"17" 2020-10-31 8454 660 1707 45 294 681 63 177 333 654 186 207 111 1416 2292 72 57 17403
"18" 2020-11-30 8571 645 1767 45 258 660 54 150 330 651 189 216 99 1368 2334 72 57 17475
"19" 2020-12-31 9132 711 1887 54 270 714 54 144 351 672 186 222 102 1461 2502 69 51 18579
"20" 2021-01-31 9228 711 1926 54 258 693 57 132 339 663 159 225 99 1434 2529 69 48 18627
"21" 2021-02-28 9003 672 1824 48 237 651 45 129 333 600 150 213 90 1383 2400 60 42 17886
